Student_ID,GPA,Learning_Style,Available_Hours_Per_Day,Free_Days_Per_Week,Subject_Count,Exam_Priority,Weak_Subjects_Count,Recommended_Hours_Per_Subject
115,6.5,Kinesthetic,6,7,4,Low,1,1.32
116,9.14,Visual,4,7,4,High,1,1.32
117,8.6,Visual,7,5,7,Low,3,0.74
118,5.01,Reading,6,7,6,Medium,2,1.2
119,5.38,Visual,6,3,5,High,1,0.68
120,9.13,Auditory,5,5,8,High,1,0.59
121,6.37,Reading,3,5,4,High,3,0.84
122,7.89,Kinesthetic,3,3,7,Low,3,0.19
123,7.8,Kinesthetic,3,3,5,High,3,0.4
124,9.08,Visual,4,7,6,Low,3,0.69
125,6.66,Visual,7,5,4,High,1,1.65
126,6.05,Reading,7,6,8,Low,0,0.6
127,8.37,Reading,6,3,6,Medium,0,0.43
128,7.54,Visual,6,5,5,High,0,1.03
129,7.44,Reading,4,5,4,High,3,1.11
130,8.3,Kinesthetic,2,3,8,Low,1,0.09
131,5.05,Kinesthetic,3,3,4,Medium,1,0.35
132,6.23,Visual,7,6,7,High,1,1.13
133,7.6,Kinesthetic,6,6,8,Low,0,0.51
134,8.21,Visual,6,5,7,Medium,0,0.61
135,8.48,Visual,4,4,5,High,1,0.6
136,6.13,Reading,6,5,8,High,0,0.64
137,9.25,Visual,3,3,7,High,0,0.22
138,9.61,Auditory,2,7,8,Low,0,0.2
139,9.42,Kinesthetic,5,7,5,Medium,2,1.2
140,6.31,Auditory,3,5,4,Low,3,0.56
141,6.15,Kinesthetic,8,3,8,Low,1,0.38
142,5.16,Kinesthetic,4,7,5,Low,1,0.7
143,7.23,Auditory,8,7,6,Low,0,1.07
144,6.55,Reading,8,6,5,Medium,3,1.78
145,7.42,Visual,4,3,8,Medium,3,0.28
146,7.6,Auditory,2,4,5,Low,1,0.2
147,6.35,Visual,5,6,8,Medium,3,0.7
148,9.89,Kinesthetic,5,5,4,High,3,1.39
149,9.29,Visual,4,3,6,High,1,0.38
150,5.87,Auditory,6,5,4,High,1,1.41
151,6.17,Kinesthetic,2,5,6,Medium,3,0.31
152,6.54,Visual,8,4,6,High,2,1.1
153,7.4,Kinesthetic,4,6,7,Medium,0,0.49
154,9.35,Reading,8,5,4,High,2,2.06
155,6.6,Kinesthetic,4,4,7,Medium,3,0.42
156,9.02,Auditory,4,6,5,High,2,0.99
157,7.79,Kinesthetic,2,4,6,Medium,2,0.23
158,8.94,Reading,3,4,6,Low,0,0.23
159,8.34,Kinesthetic,2,5,4,Medium,1,0.39
160,6.06,Reading,5,3,6,High,2,0.51
161,8.91,Kinesthetic,8,7,7,Low,0,0.91
162,6.28,Auditory,5,4,4,High,2,1.03
163,9.08,Reading,2,3,4,Low,0,0.17
164,9.18,Auditory,8,4,7,Low,1,0.57
165,7.26,Reading,8,4,5,High,2,1.32
166,7.07,Auditory,7,7,6,High,1,1.54
167,5.26,Reading,2,3,4,High,2,0.31
168,8.57,Auditory,5,6,5,Medium,0,0.86
169,5.1,Auditory,7,7,5,Low,2,1.34
170,8.44,Reading,4,3,5,High,1,0.45
171,8.25,Auditory,6,3,8,Medium,0,0.32
172,5.71,Auditory,5,6,7,High,3,0.96
173,6.97,Auditory,2,3,7,High,1,0.16
174,6.75,Kinesthetic,3,4,8,High,3,0.33
175,7.08,Kinesthetic,6,7,8,Medium,3,0.98
176,7.79,Auditory,7,3,7,Medium,1,0.47
177,9.84,Auditory,8,7,6,Medium,3,1.73
178,6.69,Auditory,7,4,6,Medium,1,0.73
179,9.23,Kinesthetic,7,4,8,Low,2,0.48
180,8.93,Auditory,7,5,5,Low,2,0.96
181,7.52,Visual,2,7,5,High,3,0.62
182,5.55,Visual,6,4,6,Low,3,0.59
183,7.97,Visual,4,4,4,Medium,2,0.69
184,5.51,Reading,7,7,4,High,0,2.1
185,6.74,Visual,8,7,5,Medium,3,2.08
186,6.86,Reading,5,5,4,High,1,1.18
187,6.09,Visual,5,3,6,High,1,0.47
188,8.68,Kinesthetic,5,5,5,Medium,0,0.71
189,5.0,Kinesthetic,6,4,5,Low,2,0.66
190,9.25,Kinesthetic,8,5,6,Medium,3,1.24
191,6.36,Reading,4,6,4,Low,0,0.69
192,6.03,Kinesthetic,3,7,4,Medium,1,0.83
193,7.3,Auditory,3,7,7,Medium,3,0.56
194,9.72,Kinesthetic,2,3,7,High,1,0.16
195,7.75,Visual,4,6,5,High,3,1.07
196,7.55,Kinesthetic,2,3,4,Low,0,0.17
197,5.23,Auditory,7,4,5,High,3,1.25
198,7.6,Auditory,5,6,8,High,0,0.64
199,6.82,Auditory,4,3,8,High,1,0.28
200,8.26,Auditory,2,6,7,Low,2,0.24
201,7.05,Visual,7,5,4,Low,0,1.0
202,9.68,Kinesthetic,7,4,6,Low,1,0.59
203,5.06,Kinesthetic,7,7,6,Low,3,1.21
204,9.21,Reading,3,4,7,Low,2,0.24
205,8.55,Visual,8,5,8,Low,2,0.69
206,7.86,Auditory,5,6,6,High,1,0.94
207,9.67,Reading,8,6,4,High,3,2.67
208,7.62,Kinesthetic,4,4,5,Medium,1,0.5
209,5.11,Kinesthetic,2,7,4,High,1,0.66
210,7.26,Reading,8,3,5,Low,2,0.66
211,5.89,Reading,7,7,7,Medium,1,1.1
212,9.86,Kinesthetic,2,7,6,Medium,2,0.4
213,7.24,Kinesthetic,2,4,6,Low,2,0.18
214,6.62,Kinesthetic,3,6,7,Low,2,0.35
215,7.47,Visual,6,5,8,Medium,2,0.64
216,6.95,Visual,2,6,6,High,3,0.45
217,5.21,Auditory,5,6,8,High,2,0.77
218,5.33,Kinesthetic,5,7,8,Medium,0,0.62
219,6.94,Auditory,3,6,5,High,1,0.68
220,5.67,Auditory,3,4,4,Medium,3,0.56
221,7.22,Reading,5,7,7,High,1,0.94
222,6.42,Visual,2,5,4,High,1,0.47
223,9.69,Auditory,4,6,4,Low,1,0.75
224,7.0,Visual,2,7,4,Low,2,0.48
225,7.48,Kinesthetic,2,5,7,High,1,0.27
226,8.83,Reading,3,6,6,High,0,0.51
227,5.2,Visual,8,6,8,High,2,1.23
228,9.47,Visual,2,6,8,Low,2,0.21
229,6.41,Reading,4,6,4,Low,3,0.89
230,5.02,Reading,8,6,7,Low,1,0.86
231,6.5,Reading,8,4,7,Medium,2,0.78
232,8.26,Visual,8,6,5,Low,0,1.1
233,5.2,Kinesthetic,6,7,8,Low,2,0.72
234,8.66,Auditory,8,4,5,High,2,1.32
235,5.94,Kinesthetic,4,6,5,High,1,0.91
236,9.77,Kinesthetic,4,3,8,Medium,2,0.26
237,7.18,Kinesthetic,7,7,6,Low,2,1.12
238,5.64,Visual,7,4,8,Medium,0,0.5
239,9.52,Visual,2,5,7,High,2,0.29
240,5.8,Kinesthetic,8,3,8,High,0,0.51
241,7.39,Visual,5,5,4,Low,2,0.86
242,9.09,Kinesthetic,6,6,5,Medium,3,1.34
243,9.45,Reading,3,5,7,Medium,2,0.37
244,6.37,Reading,5,7,7,High,0,0.86
245,6.74,Auditory,3,4,6,Low,0,0.23
246,8.78,Auditory,8,7,4,Low,2,1.92
247,9.53,Visual,4,5,6,Low,3,0.5
248,7.09,Kinesthetic,8,5,7,Low,2,0.78
249,5.26,Reading,8,7,4,Low,2,1.92
250,6.67,Visual,6,7,8,Low,0,0.6
251,7.21,Visual,4,5,4,Medium,1,0.79
252,5.54,Reading,6,3,4,Medium,2,0.77
253,8.07,Visual,4,5,6,Medium,3,0.62
254,9.99,Reading,6,3,7,High,1,0.48
255,5.44,Kinesthetic,6,6,6,Low,3,0.89
256,8.78,Visual,8,4,8,High,1,0.75
257,8.23,Kinesthetic,3,4,4,Medium,1,0.47
258,5.38,Kinesthetic,7,4,8,High,1,0.66
259,7.48,Visual,2,3,6,High,0,0.17
260,5.3,Visual,7,3,4,High,2,1.08
261,7.74,Visual,8,5,7,Medium,1,0.9
262,5.25,Reading,3,3,6,High,0,0.26
263,9.21,Reading,5,6,7,Medium,3,0.8
264,6.45,Reading,4,4,7,Low,0,0.26
265,6.26,Visual,2,5,4,Low,3,0.37
266,5.99,Reading,5,7,4,Low,1,1.1
267,7.46,Kinesthetic,2,5,5,Low,2,0.27
268,8.17,Auditory,2,4,4,High,0,0.34
269,9.6,Visual,6,5,6,Low,0,0.57
270,6.77,Reading,2,5,8,Medium,1,0.2
271,6.17,Auditory,2,6,8,Medium,2,0.26
272,9.85,Visual,6,4,6,Low,2,0.55
273,8.17,Reading,7,7,4,Low,1,1.54
274,5.35,Visual,6,3,6,Low,0,0.34
275,5.17,Kinesthetic,8,5,5,High,2,1.65
276,6.63,Visual,8,3,7,Medium,0,0.49
277,5.03,Reading,3,4,6,Low,2,0.27
278,5.74,Kinesthetic,3,7,4,Medium,1,0.83
279,6.85,Reading,6,5,6,High,3,1.11
280,8.8,Kinesthetic,6,5,8,Low,0,0.43
281,8.75,Kinesthetic,2,3,5,Medium,0,0.17
282,8.1,Visual,6,4,7,High,3,0.76
283,9.02,Kinesthetic,8,4,4,Low,3,1.19
284,7.76,Reading,8,6,4,Low,1,1.51
285,7.46,Visual,8,6,7,Medium,0,0.98
286,7.19,Reading,8,7,8,Medium,1,1.1
287,5.45,Visual,4,3,5,Medium,2,0.41
288,9.48,Kinesthetic,2,5,8,High,2,0.26
289,9.79,Auditory,5,7,5,Low,1,0.88
290,7.39,Visual,7,3,5,Medium,3,0.78
291,5.25,Visual,7,7,4,Low,1,1.54
292,7.33,Visual,2,7,7,Medium,0,0.29
293,8.82,Kinesthetic,3,3,4,Low,2,0.31
294,8.41,Kinesthetic,8,7,6,High,3,2.08
295,9.36,Kinesthetic,8,5,5,Low,0,0.91
296,6.34,Auditory,5,6,8,High,2,0.77
297,5.82,Visual,2,5,7,Low,3,0.21
298,5.92,Visual,3,3,4,Low,2,0.31
299,7.67,Kinesthetic,5,3,8,Medium,0,0.27
300,6.5,Kinesthetic,6,4,6,High,0,0.69
301,8.78,Kinesthetic,8,4,8,Medium,0,0.57
302,8.44,Reading,7,4,4,High,0,1.2
303,8.54,Kinesthetic,8,5,7,Low,0,0.65
304,9.57,Kinesthetic,4,6,4,Medium,1,0.94
305,8.39,Visual,3,5,4,Low,3,0.56
306,8.39,Kinesthetic,8,3,4,Medium,2,1.03
307,7.29,Reading,6,5,7,Medium,1,0.67
308,5.24,Auditory,2,4,7,Medium,3,0.21
309,7.06,Reading,8,7,5,Medium,0,1.6
310,6.75,Reading,7,6,6,Low,3,1.04
311,7.13,Reading,8,3,6,High,3,0.89
312,8.39,Reading,5,4,4,High,1,0.94
313,5.68,Reading,6,6,4,High,1,1.7
314,9.72,Kinesthetic,2,4,8,Low,0,0.11
315,7.9,Reading,6,7,5,High,0,1.44
316,7.11,Reading,2,7,5,Low,0,0.32
317,9.34,Kinesthetic,5,7,4,Low,1,1.1
318,9.74,Visual,7,6,6,Medium,2,1.2
319,9.81,Kinesthetic,4,6,4,High,1,1.13
320,9.89,Auditory,7,7,7,Low,1,0.88
321,8.47,Visual,5,7,7,High,3,1.11
322,7.57,Visual,4,6,4,Medium,3,1.11
323,8.48,Visual,2,3,4,Medium,3,0.28
324,5.46,Reading,3,7,7,High,1,0.57
325,6.06,Reading,2,5,4,Low,1,0.31
326,6.54,Visual,8,3,4,High,0,1.03
327,7.6,Visual,5,7,6,Low,0,0.67
328,7.34,Reading,4,4,4,Low,3,0.59
329,5.24,Visual,2,5,7,Low,0,0.16
330,7.86,Visual,3,4,6,High,1,0.38
331,6.12,Kinesthetic,3,6,7,High,0,0.44
332,9.21,Reading,4,5,4,Medium,1,0.79
333,7.63,Kinesthetic,7,3,5,Medium,0,0.6
334,8.56,Auditory,6,6,7,Low,2,0.71
335,9.59,Reading,8,3,5,Medium,3,0.89
336,8.4,Reading,8,5,6,High,2,1.37
337,5.27,Visual,8,5,7,Low,0,0.65
338,5.82,Kinesthetic,4,3,5,High,3,0.53
339,5.89,Auditory,2,3,7,Low,3,0.13
340,9.78,Kinesthetic,2,3,8,Medium,0,0.11
341,6.8,Kinesthetic,4,3,5,Low,0,0.27
342,8.79,Visual,3,6,5,High,0,0.62
343,8.62,Reading,3,5,8,Medium,2,0.32
344,9.1,Auditory,2,5,4,High,1,0.47
345,7.28,Reading,8,4,4,Medium,1,1.26
346,9.12,Auditory,8,3,7,High,0,0.59
347,7.27,Kinesthetic,4,6,5,High,3,1.07
348,7.85,Auditory,6,6,6,Medium,0,0.86
349,6.34,Reading,4,7,4,Medium,3,1.3
350,5.67,Auditory,5,6,6,Medium,3,0.93
351,8.6,Kinesthetic,2,5,8,Medium,2,0.21
352,9.48,Kinesthetic,4,4,8,High,2,0.41
353,5.09,Auditory,7,7,6,Medium,3,1.52
354,7.94,Kinesthetic,6,3,4,Low,1,0.57
355,8.83,Visual,6,7,5,High,2,1.73
356,9.05,Visual,3,5,5,High,3,0.67
357,5.19,Visual,5,4,6,Medium,2,0.57
358,6.41,Kinesthetic,6,6,8,Medium,1,0.71
359,5.34,Auditory,7,3,4,Medium,2,0.9
360,9.8,Auditory,8,4,5,Medium,1,1.01
361,9.07,Reading,4,4,4,Medium,1,0.63
362,6.11,Visual,4,5,4,Low,1,0.63
363,9.38,Visual,3,5,7,Low,1,0.27
364,5.69,Visual,6,3,6,Medium,1,0.47
365,7.28,Visual,6,6,4,Low,2,1.23
366,8.84,Visual,8,3,4,Low,2,0.82
367,9.09,Auditory,5,7,8,High,2,0.9
368,7.66,Reading,6,4,4,Low,1,0.75
369,6.3,Kinesthetic,5,4,4,Low,0,0.57
370,9.27,Reading,5,6,7,Low,1,0.54
371,7.08,Kinesthetic,7,7,7,Low,0,0.8
372,8.93,Auditory,6,3,5,High,2,0.74
373,8.27,Reading,2,3,8,High,2,0.15
374,9.65,Visual,6,3,5,Low,0,0.41
375,8.72,Reading,8,3,6,Medium,0,0.57
376,6.71,Kinesthetic,2,6,4,High,2,0.62
377,6.44,Visual,4,7,7,Low,2,0.55
378,5.82,Visual,4,4,7,Medium,1,0.36
379,8.95,Visual,3,4,5,High,0,0.41
380,5.51,Reading,3,5,6,High,1,0.47
381,7.83,Reading,7,3,8,High,3,0.58
382,7.69,Visual,7,5,4,High,1,1.65
383,9.52,Auditory,7,6,8,Low,2,0.72
384,7.64,Reading,8,6,7,Low,0,0.78
385,6.27,Reading,8,5,7,High,3,1.27
386,8.08,Kinesthetic,7,6,6,Medium,0,1.0
387,5.24,Kinesthetic,4,6,6,Low,2,0.55
388,7.87,Kinesthetic,8,3,4,High,3,1.34
389,9.91,Auditory,4,5,6,Low,0,0.38
390,6.31,Kinesthetic,6,4,4,High,3,1.34
391,9.84,Kinesthetic,7,5,4,Low,3,1.3
392,7.9,Kinesthetic,5,3,5,Medium,0,0.43
393,9.22,Kinesthetic,7,7,8,Medium,1,0.96
394,5.63,Reading,2,7,6,Medium,0,0.33
395,6.28,Visual,3,3,4,Medium,3,0.42
396,6.65,Visual,4,4,6,High,0,0.46
397,8.49,Reading,4,5,6,Medium,2,0.57
398,6.55,Kinesthetic,7,7,8,Medium,2,1.05
399,7.53,Visual,7,3,6,Medium,3,0.65
400,6.38,Visual,7,6,7,Low,2,0.82
401,6.24,Visual,4,6,4,Low,1,0.75
402,5.21,Visual,8,5,5,Medium,2,1.37
403,9.68,Visual,6,6,4,Low,3,1.34
404,9.51,Visual,7,3,6,Low,3,0.52
405,5.49,Reading,2,4,6,Medium,3,0.25
406,9.06,Kinesthetic,3,7,8,Low,2,0.36
407,8.51,Kinesthetic,3,3,7,High,0,0.22
408,6.37,Reading,8,4,8,High,3,0.89
409,6.71,Reading,8,4,6,Medium,1,0.84
410,9.7,Reading,8,6,8,High,3,1.34
411,9.4,Visual,3,5,4,Low,2,0.51
412,9.92,Kinesthetic,4,4,6,Medium,0,0.38
413,6.38,Visual,6,5,4,Low,0,0.86
414,5.14,Visual,4,7,6,Low,0,0.53
415,6.0,Visual,7,6,5,High,2,1.73
416,8.08,Auditory,6,6,8,Medium,0,0.64
417,6.66,Kinesthetic,8,3,6,High,1,0.75
418,7.19,Reading,4,4,6,High,0,0.46
419,6.66,Kinesthetic,6,6,6,High,0,1.03
420,8.78,Visual,7,6,8,Medium,3,0.98
421,7.64,Visual,3,7,4,Medium,2,0.9
422,9.45,Visual,3,4,5,Medium,1,0.38
423,5.07,Kinesthetic,2,3,4,High,2,0.31
424,8.64,Visual,5,3,4,Medium,0,0.54
425,5.67,Reading,4,5,5,High,2,0.82
426,9.98,Visual,7,5,6,Medium,3,1.08
427,7.8,Reading,8,5,7,Low,3,0.85
428,7.78,Visual,4,7,8,Low,3,0.52
429,7.45,Kinesthetic,6,6,6,High,1,1.13
430,5.05,Auditory,8,4,6,Medium,1,0.84
431,8.85,Auditory,2,7,8,Medium,3,0.33
432,5.19,Visual,8,6,6,High,3,1.78
433,8.61,Reading,8,5,5,High,0,1.37
434,8.42,Visual,3,7,4,Medium,3,0.98
435,9.5,Reading,6,4,8,Low,2,0.41
436,5.31,Visual,3,3,8,Medium,2,0.19
437,7.08,Reading,6,6,5,Low,3,1.07
438,7.78,Kinesthetic,8,3,5,Low,3,0.71
439,8.53,Kinesthetic,4,4,4,Low,1,0.5
440,6.01,Visual,2,7,7,Low,1,0.25
441,9.44,Kinesthetic,3,5,8,Low,3,0.28
442,9.11,Auditory,6,7,8,Low,2,0.72
443,7.78,Reading,7,5,7,High,3,1.11
444,5.84,Reading,6,3,8,High,1,0.42
445,6.7,Auditory,4,5,6,Medium,1,0.52
446,7.16,Visual,6,5,6,Medium,2,0.86
447,5.57,Visual,5,4,5,Low,0,0.46
448,6.47,Visual,5,7,7,Low,3,0.74
449,6.18,Kinesthetic,8,3,5,Low,1,0.6
450,9.18,Reading,4,7,6,Medium,0,0.67
451,7.49,Visual,7,5,7,Medium,3,0.93
452,8.41,Kinesthetic,4,3,6,Medium,0,0.29
453,7.55,Visual,7,5,6,Low,1,0.73
454,7.48,Visual,7,3,7,Low,3,0.45
455,7.66,Reading,4,7,4,Medium,1,1.1
456,8.34,Reading,4,3,8,Medium,3,0.28
457,7.28,Kinesthetic,3,5,7,Medium,2,0.37
458,6.78,Kinesthetic,7,3,7,Low,2,0.41
459,8.18,Auditory,2,6,6,Medium,3,0.37
460,5.35,Reading,2,5,5,Medium,1,0.31
461,8.06,Kinesthetic,2,4,8,Medium,1,0.16
462,6.23,Visual,5,3,7,Low,0,0.24
463,5.93,Visual,2,6,4,Medium,3,0.56
464,9.88,Reading,2,3,4,High,2,0.31
465,8.22,Visual,8,6,5,Low,2,1.32
466,8.73,Reading,4,6,6,High,1,0.75
467,6.93,Kinesthetic,4,7,6,High,1,0.88
468,8.29,Auditory,7,6,8,High,1,0.99
469,6.05,Reading,2,5,4,High,3,0.56
470,7.3,Auditory,2,7,6,Low,3,0.35
471,8.15,Reading,2,7,8,Medium,0,0.25
472,8.8,Kinesthetic,3,6,7,Medium,1,0.4
473,7.48,Reading,6,6,8,Low,2,0.62
474,7.95,Visual,3,6,8,Medium,3,0.42
475,8.02,Reading,8,5,7,Medium,3,1.06
476,5.2,Kinesthetic,6,3,8,High,0,0.39
477,9.79,Visual,6,7,4,High,1,1.98
478,9.94,Auditory,2,5,5,Low,2,0.27
479,9.2,Reading,8,6,5,Medium,3,1.78
480,5.19,Auditory,6,4,6,Medium,3,0.74
481,9.57,Auditory,8,5,7,Low,0,0.65
482,8.34,Reading,6,3,4,High,0,0.77
483,6.75,Visual,8,6,7,Medium,1,1.08
484,9.03,Reading,4,4,4,High,2,0.82
485,8.93,Visual,4,7,8,Low,2,0.48
486,9.49,Kinesthetic,2,6,5,High,2,0.49
487,5.87,Reading,5,6,7,High,3,0.96
488,7.96,Auditory,8,7,4,High,0,2.4
489,5.93,Reading,3,4,7,Low,2,0.24
490,8.65,Auditory,2,5,6,Medium,2,0.29
491,8.39,Auditory,2,6,8,Low,1,0.19
492,5.97,Reading,6,3,4,High,3,1.0
493,6.76,Reading,3,4,5,High,0,0.41
494,8.14,Visual,5,7,4,Medium,1,1.38
495,5.22,Reading,6,5,5,Medium,3,1.11
496,6.49,Reading,5,4,7,Low,1,0.36
497,8.74,Kinesthetic,2,5,4,Low,0,0.29
498,5.88,Kinesthetic,4,7,5,High,0,0.96
499,7.06,Auditory,3,4,8,Low,2,0.21
500,8.1,Kinesthetic,6,5,6,Medium,2,0.86
501,5.41,Kinesthetic,6,4,4,Low,2,0.82
502,7.97,Kinesthetic,5,6,6,Low,1,0.63
503,7.1,Auditory,8,7,8,High,0,1.2
504,9.27,Kinesthetic,5,4,6,High,2,0.69
505,8.83,Reading,8,3,4,Low,3,0.89
506,5.75,Visual,8,7,5,Low,3,1.66
507,5.65,Visual,5,5,7,High,0,0.61
508,7.31,Visual,5,5,7,Medium,0,0.51
509,5.12,Reading,5,5,5,High,2,1.03
510,6.4,Reading,7,7,6,Low,1,1.03
511,8.55,Kinesthetic,2,4,4,Low,2,0.27
512,6.0,Visual,2,3,4,Low,1,0.19
513,6.26,Auditory,6,3,6,High,0,0.51
514,9.21,Reading,4,6,8,Low,1,0.38
515,8.69,Auditory,5,7,7,Low,1,0.63
516,5.71,Kinesthetic,6,3,6,Low,0,0.34
517,6.89,Kinesthetic,3,5,6,High,2,0.51
518,8.91,Kinesthetic,3,4,8,Medium,3,0.28
519,8.22,Reading,7,5,4,High,0,1.5
520,6.35,Visual,4,6,6,Medium,0,0.57
521,7.07,Visual,5,4,6,Medium,2,0.57
522,7.41,Auditory,8,3,4,Low,3,0.89
523,6.14,Reading,7,6,7,Medium,3,1.11
524,9.22,Reading,8,4,5,High,2,1.32
